Type,Field,total,mismatch_count,accuracy_rate
ADCC,amount,20,3,85.00%
ADCC,can_be_located,20,0,100.00%
ADCC,cancel_amount_requested,5,0,100.00%
ADCC,channel,15,5,66.67%
ADCC,currency,20,0,100.00%
ADCC,date,20,0,100.00%
ADCC,from.account_number,18,0,100.00%
ADCC,from.bank,18,12,33.33%
ADCC,from.name,20,6,70.00%
ADCC,to.account_number,20,0,100.00%
ADCC,to.bank,20,8,60.00%
ADCC,to.name,20,4,80.00%
ADCC,transaction_references.0,20,0,100.00%
HSBC Referral,amount,40,5,87.50%
HSBC Referral,can_be_located,40,4,90.00%
HSBC Referral,cancel_amount_requested,20,0,100.00%
HSBC Referral,channel,40,4,90.00%
HSBC Referral,currency,40,4,90.00%
HSBC Referral,date,40,10,75.00%
HSBC Referral,from.account_number,40,10,75.00%
HSBC Referral,from.bank,40,13,67.50%
HSBC Referral,from.name,40,16,60.00%
HSBC Referral,to.account_number,40,10,75.00%
HSBC Referral,to.bank,40,13,67.50%
HSBC Referral,to.name,40,17,57.50%
HSBC Referral,transaction_references.0,40,4,90.00%
ODFT,amount,6,3,50.00%
ODFT,can_be_located,6,2,66.67%
ODFT,cancel_amount_requested,1,0,100.00%
ODFT,channel,6,2,66.67%
ODFT,currency,6,2,66.67%
ODFT,date,6,4,33.33%
ODFT,from.account_number,6,3,50.00%
ODFT,from.bank,6,3,50.00%
ODFT,from.name,6,4,33.33%
ODFT,to.account_number,6,4,33.33%
ODFT,to.bank,6,4,33.33%
ODFT,to.name,6,3,50.00%
ODFT,transaction_references.0,6,2,66.67%
Police Letter,amount,14,0,100.00%
Police Letter,can_be_located,14,0,100.00%
Police Letter,cancel_amount_requested,8,0,100.00%
Police Letter,channel,14,0,100.00%
Police Letter,currency,14,0,100.00%
Police Letter,date,14,1,92.86%
Police Letter,from.account_number,11,0,100.00%
Police Letter,from.bank,11,1,90.91%
Police Letter,from.name,11,0,100.00%
Police Letter,to.account_number,14,0,100.00%
Police Letter,to.bank,14,4,71.43%
Police Letter,to.name,14,2,85.71%
Police Letter,transaction_references.0,14,0,100.00%
Search Warrant,amount,6,0,100.00%
Search Warrant,can_be_located,6,0,100.00%
Search Warrant,cancel_amount_requested,6,0,100.00%
Search Warrant,channel,6,0,100.00%
Search Warrant,currency,6,0,100.00%
Search Warrant,date,6,0,100.00%
Search Warrant,from.account_number,6,0,100.00%
Search Warrant,from.bank,6,0,100.00%
Search Warrant,from.name,6,0,100.00%
Search Warrant,to.account_number,6,0,100.00%
Search Warrant,to.bank,6,0,100.00%
Search Warrant,to.name,6,0,100.00%
Search Warrant,transaction_references.0,6,0,100.00%
UAR,amount,18,2,88.89%
UAR,can_be_located,18,2,88.89%
UAR,cancel_amount_requested,10,0,100.00%
UAR,channel,18,6,66.67%
UAR,currency,18,2,88.89%
UAR,date,18,2,88.89%
UAR,from.account_number,14,2,85.71%
UAR,from.bank,14,3,78.57%
UAR,from.name,14,2,85.71%
UAR,to.account_number,18,2,88.89%
UAR,to.bank,18,4,77.78%
UAR,to.name,18,3,83.33%
UAR,transaction_references.0,18,2,88.89%
